REL_NUM_COMP_ALUNOS;ID_MOD_ATIV_COMPLEMENTAR;IDADE_MESES;TP_SEXO;TP_COR_RACA_PRETA;ID_ZONA_RESIDENCIAL;ID_N_T_E_P;EVADIU
65.0;0.0;206.0;0.0;0.0;0.0;0.0;0
65.0;0.0;211.0;0.0;0.0;1.0;1.0;0
65.0;0.0;206.0;0.0;0.0;0.0;0.0;0
65.0;0.0;205.0;1.0;0.0;0.0;0.0;0
65.0;0.0;207.0;1.0;0.0;0.0;0.0;0
65.0;0.0;203.0;1.0;0.0;1.0;0.0;0
65.0;0.0;202.0;1.0;0.0;0.0;0.0;0
65.0;0.0;202.0;1.0;0.0;0.0;0.0;0
65.0;0.0;209.0;0.0;0.0;0.0;1.0;0
65.0;0.0;213.0;1.0;0.0;0.0;0.0;0
65.0;0.0;235.0;0.0;0.0;0.0;0.0;0
65.0;0.0;201.0;0.0;0.0;0.0;0.0;0
65.0;0.0;212.0;0.0;0.0;0.0;0.0;0
65.0;0.0;215.0;0.0;0.0;0.0;0.0;0
65.0;0.0;210.0;1.0;0.0;0.0;0.0;0
65.0;0.0;202.0;1.0;1.0;1.0;1.0;0
65.0;0.0;215.0;0.0;0.0;0.0;0.0;0
65.0;0.0;226.0;0.0;0.0;0.0;1.0;0
65.0;0.0;205.0;0.0;0.0;0.0;0.0;0
65.0;0.0;196.0;1.0;0.0;0.0;0.0;0
65.0;0.0;217.0;0.0;0.0;0.0;0.0;0
65.0;0.0;223.0;0.0;0.0;0.0;0.0;0
65.0;0.0;189.0;1.0;0.0;0.0;0.0;0
65.0;0.0;223.0;0.0;0.0;0.0;0.0;0
65.0;0.0;192.0;0.0;0.0;0.0;0.0;0
65.0;0.0;212.0;1.0;0.0;0.0;0.0;0
65.0;0.0;222.0;0.0;0.0;1.0;1.0;0
65.0;0.0;209.0;0.0;0.0;0.0;0.0;0
65.0;0.0;218.0;1.0;0.0;0.0;0.0;0
65.0;0.0;188.0;1.0;0.0;1.0;1.0;0
65.0;0.0;206.0;0.0;0.0;1.0;1.0;0
65.0;0.0;213.0;1.0;0.0;1.0;0.0;0
65.0;0.0;207.0;0.0;0.0;1.0;1.0;0
65.0;0.0;209.0;1.0;0.0;0.0;0.0;0
65.0;0.0;251.0;1.0;0.0;1.0;1.0;0
65.0;0.0;222.0;1.0;0.0;1.0;1.0;0
65.0;0.0;214.0;1.0;0.0;0.0;0.0;0
65.0;0.0;206.0;0.0;0.0;0.0;0.0;0
65.0;0.0;205.0;0.0;0.0;0.0;0.0;0
65.0;0.0;199.0;1.0;0.0;1.0;1.0;0
65.0;0.0;213.0;0.0;0.0;0.0;0.0;0
65.0;0.0;202.0;0.0;0.0;0.0;0.0;0
65.0;0.0;205.0;1.0;0.0;1.0;1.0;0
65.0;0.0;207.0;1.0;0.0;0.0;0.0;0
65.0;0.0;206.0;1.0;0.0;0.0;0.0;0
65.0;0.0;211.0;0.0;0.0;0.0;0.0;0
65.0;0.0;215.0;1.0;0.0;1.0;1.0;0
65.0;0.0;198.0;0.0;0.0;0.0;0.0;0
65.0;0.0;199.0;0.0;0.0;1.0;1.0;0
65.0;0.0;183.0;0.0;0.0;0.0;0.0;0
65.0;0.0;193.0;1.0;0.0;0.0;0.0;0
65.0;0.0;187.0;0.0;0.0;0.0;0.0;0
65.0;0.0;192.0;1.0;0.0;0.0;0.0;0
65.0;0.0;192.0;0.0;0.0;1.0;1.0;0
65.0;0.0;194.0;0.0;0.0;0.0;0.0;0
65.0;0.0;199.0;1.0;0.0;1.0;1.0;0
